setup_id,family,params,entry_time,exit_time,date,signal,direction,entry_price,target_points,stop_points,horizon_bars,outcome,net_points,bars_to_exit,source_bar_index
failed_reversal_continuation__target-500__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-02-17 18:31:00+00:00,2026-02-17 18:34:00+00:00,2026-02-17,-1,SHORT,4884.68,500,150,30,1,490,3,4694
failed_reversal_continuation__target-500__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-02-26 16:31:00+00:00,2026-02-26 16:32:00+00:00,2026-02-26,-1,SHORT,5155.17,500,150,30,1,490,1,14219
failed_reversal_continuation__target-500__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-02 17:47:00+00:00,2026-03-02 17:51:00+00:00,2026-03-02,-1,SHORT,5335.75,500,150,30,1,490,4,17050
failed_reversal_continuation__target-500__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-06 15:31:00+00:00,2026-03-06 15:32:00+00:00,2026-03-06,1,LONG,5109.03,500,150,30,-1,-160,1,22408
failed_reversal_continuation__target-500__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-06 17:03:00+00:00,2026-03-06 17:05:00+00:00,2026-03-06,1,LONG,5145.5,500,150,30,1,490,2,22500
failed_reversal_continuation__target-500__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-02-17 18:31:00+00:00,2026-02-17 18:34:00+00:00,2026-02-17,-1,SHORT,4884.68,500,150,45,1,490,3,4694
failed_reversal_continuation__target-500__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-02-26 16:31:00+00:00,2026-02-26 16:32:00+00:00,2026-02-26,-1,SHORT,5155.17,500,150,45,1,490,1,14219
failed_reversal_continuation__target-500__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-03-02 17:47:00+00:00,2026-03-02 17:51:00+00:00,2026-03-02,-1,SHORT,5335.75,500,150,45,1,490,4,17050
failed_reversal_continuation__target-500__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-03-06 15:31:00+00:00,2026-03-06 15:32:00+00:00,2026-03-06,1,LONG,5109.03,500,150,45,-1,-160,1,22408
failed_reversal_continuation__target-500__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-03-06 17:03:00+00:00,2026-03-06 17:05:00+00:00,2026-03-06,1,LONG,5145.5,500,150,45,1,490,2,22500
failed_reversal_continuation__target-500__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-02-17 18:31:00+00:00,2026-02-17 18:34:00+00:00,2026-02-17,-1,SHORT,4884.68,500,150,45,1,490,3,4694
failed_reversal_continuation__target-500__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-02-26 16:31:00+00:00,2026-02-26 16:32:00+00:00,2026-02-26,-1,SHORT,5155.17,500,150,45,1,490,1,14219
failed_reversal_continuation__target-500__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-02 17:47:00+00:00,2026-03-02 17:51:00+00:00,2026-03-02,-1,SHORT,5335.75,500,150,45,1,490,4,17050
failed_reversal_continuation__target-500__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-06 15:31:00+00:00,2026-03-06 15:32:00+00:00,2026-03-06,1,LONG,5109.03,500,150,45,-1,-160,1,22408
failed_reversal_continuation__target-500__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-06 17:03:00+00:00,2026-03-06 17:05:00+00:00,2026-03-06,1,LONG,5145.5,500,150,45,1,490,2,22500
failed_reversal_continuation__target-500__stop-150__horizon-60__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=60;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-02-17 18:31:00+00:00,2026-02-17 18:34:00+00:00,2026-02-17,-1,SHORT,4884.68,500,150,60,1,490,3,4694
failed_reversal_continuation__target-500__stop-150__horizon-60__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=60;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-02-26 16:31:00+00:00,2026-02-26 16:32:00+00:00,2026-02-26,-1,SHORT,5155.17,500,150,60,1,490,1,14219
failed_reversal_continuation__target-500__stop-150__horizon-60__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=60;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-03-02 17:47:00+00:00,2026-03-02 17:51:00+00:00,2026-03-02,-1,SHORT,5335.75,500,150,60,1,490,4,17050
failed_reversal_continuation__target-500__stop-150__horizon-60__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=60;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-03-06 15:31:00+00:00,2026-03-06 15:32:00+00:00,2026-03-06,1,LONG,5109.03,500,150,60,-1,-160,1,22408
failed_reversal_continuation__target-500__stop-150__horizon-60__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=60;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-03-06 17:03:00+00:00,2026-03-06 17:05:00+00:00,2026-03-06,1,LONG,5145.5,500,150,60,1,490,2,22500
failed_reversal_continuation__target-500__stop-150__horizon-60__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=60;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-02-17 18:31:00+00:00,2026-02-17 18:34:00+00:00,2026-02-17,-1,SHORT,4884.68,500,150,60,1,490,3,4694
failed_reversal_continuation__target-500__stop-150__horizon-60__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=60;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-02-26 16:31:00+00:00,2026-02-26 16:32:00+00:00,2026-02-26,-1,SHORT,5155.17,500,150,60,1,490,1,14219
failed_reversal_continuation__target-500__stop-150__horizon-60__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=60;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-02 17:47:00+00:00,2026-03-02 17:51:00+00:00,2026-03-02,-1,SHORT,5335.75,500,150,60,1,490,4,17050
failed_reversal_continuation__target-500__stop-150__horizon-60__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=60;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-06 15:31:00+00:00,2026-03-06 15:32:00+00:00,2026-03-06,1,LONG,5109.03,500,150,60,-1,-160,1,22408
failed_reversal_continuation__target-500__stop-150__horizon-60__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=500;stop=150;horizon=60;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-06 17:03:00+00:00,2026-03-06 17:05:00+00:00,2026-03-06,1,LONG,5145.5,500,150,60,1,490,2,22500
failed_reversal_continuation__target-400__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=15;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-02-17 18:31:00+00:00,2026-02-17 18:34:00+00:00,2026-02-17,-1,SHORT,4884.68,400,150,15,1,390,3,4694
failed_reversal_continuation__target-400__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=15;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-02-26 16:31:00+00:00,2026-02-26 16:32:00+00:00,2026-02-26,-1,SHORT,5155.17,400,150,15,1,390,1,14219
failed_reversal_continuation__target-400__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=15;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-03-02 17:47:00+00:00,2026-03-02 17:49:00+00:00,2026-03-02,-1,SHORT,5335.75,400,150,15,1,390,2,17050
failed_reversal_continuation__target-400__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=15;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-03-06 15:31:00+00:00,2026-03-06 15:32:00+00:00,2026-03-06,1,LONG,5109.03,400,150,15,-1,-160,1,22408
failed_reversal_continuation__target-400__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=15;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-03-06 17:03:00+00:00,2026-03-06 17:04:00+00:00,2026-03-06,1,LONG,5145.5,400,150,15,1,390,1,22500
failed_reversal_continuation__target-400__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=15;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-02-17 18:31:00+00:00,2026-02-17 18:34:00+00:00,2026-02-17,-1,SHORT,4884.68,400,150,15,1,390,3,4694
failed_reversal_continuation__target-400__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=15;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-02-26 16:31:00+00:00,2026-02-26 16:32:00+00:00,2026-02-26,-1,SHORT,5155.17,400,150,15,1,390,1,14219
failed_reversal_continuation__target-400__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=15;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-02 17:47:00+00:00,2026-03-02 17:49:00+00:00,2026-03-02,-1,SHORT,5335.75,400,150,15,1,390,2,17050
failed_reversal_continuation__target-400__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=15;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-06 15:31:00+00:00,2026-03-06 15:32:00+00:00,2026-03-06,1,LONG,5109.03,400,150,15,-1,-160,1,22408
failed_reversal_continuation__target-400__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=15;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-06 17:03:00+00:00,2026-03-06 17:04:00+00:00,2026-03-06,1,LONG,5145.5,400,150,15,1,390,1,22500
failed_reversal_continuation__target-400__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-02-17 18:31:00+00:00,2026-02-17 18:34:00+00:00,2026-02-17,-1,SHORT,4884.68,400,150,30,1,390,3,4694
failed_reversal_continuation__target-400__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-02-26 16:31:00+00:00,2026-02-26 16:32:00+00:00,2026-02-26,-1,SHORT,5155.17,400,150,30,1,390,1,14219
failed_reversal_continuation__target-400__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-03-02 17:47:00+00:00,2026-03-02 17:49:00+00:00,2026-03-02,-1,SHORT,5335.75,400,150,30,1,390,2,17050
failed_reversal_continuation__target-400__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-03-06 15:31:00+00:00,2026-03-06 15:32:00+00:00,2026-03-06,1,LONG,5109.03,400,150,30,-1,-160,1,22408
failed_reversal_continuation__target-400__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-03-06 17:03:00+00:00,2026-03-06 17:04:00+00:00,2026-03-06,1,LONG,5145.5,400,150,30,1,390,1,22500
failed_reversal_continuation__target-400__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-02-17 18:31:00+00:00,2026-02-17 18:34:00+00:00,2026-02-17,-1,SHORT,4884.68,400,150,30,1,390,3,4694
failed_reversal_continuation__target-400__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-02-26 16:31:00+00:00,2026-02-26 16:32:00+00:00,2026-02-26,-1,SHORT,5155.17,400,150,30,1,390,1,14219
failed_reversal_continuation__target-400__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-02 17:47:00+00:00,2026-03-02 17:49:00+00:00,2026-03-02,-1,SHORT,5335.75,400,150,30,1,390,2,17050
failed_reversal_continuation__target-400__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-06 15:31:00+00:00,2026-03-06 15:32:00+00:00,2026-03-06,1,LONG,5109.03,400,150,30,-1,-160,1,22408
failed_reversal_continuation__target-400__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,2026-03-06 17:03:00+00:00,2026-03-06 17:04:00+00:00,2026-03-06,1,LONG,5145.5,400,150,30,1,390,1,22500
failed_reversal_continuation__target-400__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-02-17 18:31:00+00:00,2026-02-17 18:34:00+00:00,2026-02-17,-1,SHORT,4884.68,400,150,45,1,390,3,4694
failed_reversal_continuation__target-400__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-02-26 16:31:00+00:00,2026-02-26 16:32:00+00:00,2026-02-26,-1,SHORT,5155.17,400,150,45,1,390,1,14219
failed_reversal_continuation__target-400__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-03-02 17:47:00+00:00,2026-03-02 17:49:00+00:00,2026-03-02,-1,SHORT,5335.75,400,150,45,1,390,2,17050
failed_reversal_continuation__target-400__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,target=400;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,2026-03-06 15:31:00+00:00,2026-03-06 15:32:00+00:00,2026-03-06,1,LONG,5109.03,400,150,45,-1,-160,1,22408
